time	V(n002)	V(n005)	I(C3)
2.058150000000066e-008	4.120279e-001	5.000000e-001	4.436199e-003
2.059650000000067e-008	4.142364e-001	5.000000e-001	4.202649e-003
2.060750000000069e-008	4.158004e-001	5.000000e-001	4.039988e-003
2.061850000000070e-008	4.173127e-001	5.000000e-001	3.886084e-003
2.062950000000071e-008	4.187731e-001	5.000000e-001	3.740938e-003
2.064050000000072e-008	4.201816e-001	5.000000e-001	3.604549e-003
2.065150000000074e-008	4.215383e-001	5.000000e-001	3.476918e-003
2.066250000000075e-008	4.228431e-001	5.000000e-001	3.358044e-003
2.067350000000076e-008	4.240961e-001	5.000000e-001	3.247928e-003
2.067450000000076e-008	4.242087e-001	5.000000e-001	3.238087e-003
2.069650000000079e-008	4.265699e-001	5.000000e-001	3.040463e-003
2.071850000000081e-008	4.288176e-001	5.000000e-001	2.858518e-003
2.074050000000084e-008	4.309517e-001	5.000000e-001	2.692252e-003
2.076250000000086e-008	4.329723e-001	5.000000e-001	2.541665e-003
2.078450000000089e-008	4.348794e-001	5.000000e-001	2.406756e-003
2.080650000000091e-008	4.366729e-001	5.000000e-001	2.287527e-003
2.082850000000094e-008	4.383529e-001	5.000000e-001	2.183976e-003
2.084921428571525e-008	4.398774e-001	5.000000e-001	2.092013e-003
2.086992857142955e-008	4.413486e-001	5.000000e-001	2.005822e-003
2.089064285714386e-008	4.427666e-001	5.000000e-001	1.925403e-003
2.091135714285817e-008	4.441312e-001	5.000000e-001	1.850756e-003
2.093207142857248e-008	4.454425e-001	5.000000e-001	1.781882e-003
2.095278571428679e-008	4.467006e-001	5.000000e-001	1.718780e-003
2.097350000000110e-008	4.479053e-001	5.000000e-001	1.661450e-003
2.097450000000110e-008	4.479629e-001	5.000000e-001	1.658716e-003
2.101250000000115e-008	4.500564e-001	5.000000e-001	1.564452e-003
2.105050000000119e-008	4.520574e-001	5.000000e-001	1.477896e-003
2.108850000000123e-008	4.539659e-001	5.000000e-001	1.399048e-003
2.112650000000127e-008	4.557819e-001	5.000000e-001	1.327907e-003
2.116450000000132e-008	4.575054e-001	5.000000e-001	1.264473e-003
2.120250000000136e-008	4.591364e-001	5.000000e-001	1.208747e-003
2.124050000000140e-008	4.606749e-001	5.000000e-001	1.160729e-003
2.127450000000144e-008	4.620181e-001	5.000000e-001	1.119205e-003
2.131721428571578e-008	4.636266e-001	5.000000e-001	1.072675e-003
2.135992857143011e-008	4.651811e-001	5.000000e-001	1.029403e-003
2.140264285714444e-008	4.666816e-001	5.000000e-001	9.893889e-004
2.144535714285878e-008	4.681282e-001	5.000000e-001	9.526330e-004
2.148807142857311e-008	4.695207e-001	5.000000e-001	9.191352e-004
2.153078571428745e-008	4.708593e-001	5.000000e-001	8.888956e-004
2.157350000000178e-008	4.721439e-001	5.000000e-001	8.619141e-004
2.157450000000178e-008	4.721737e-001	5.000000e-001	8.612863e-004
2.161721428571612e-008	4.734232e-001	5.000000e-001	8.358973e-004
2.165992857143045e-008	4.746417e-001	5.000000e-001	8.119863e-004
2.170264285714478e-008	4.758294e-001	5.000000e-001	7.895533e-004
2.174535714285912e-008	4.769862e-001	5.000000e-001	7.685984e-004
2.178807142857346e-008	4.781121e-001	5.000000e-001	7.491215e-004
2.183078571428779e-008	4.792071e-001	5.000000e-001	7.311227e-004
2.187350000000212e-008	4.802712e-001	5.000000e-001	7.146019e-004
2.187450000000212e-008	4.802959e-001	5.000000e-001	7.142200e-004
2.191721428571646e-008	4.813374e-001	5.000000e-001	6.985922e-004
2.195992857143079e-008	4.823593e-001	5.000000e-001	6.837470e-004
2.200264285714513e-008	4.833616e-001	5.000000e-001	6.696842e-004
2.204535714285946e-008	4.843443e-001	5.000000e-001	6.564040e-004
2.208807142857380e-008	4.853073e-001	5.000000e-001	6.439064e-004
2.213078571428813e-008	4.862508e-001	5.000000e-001	6.321912e-004
2.217350000000246e-008	4.871746e-001	5.000000e-001	6.212586e-004
2.217450000000246e-008	4.871961e-001	5.000000e-001	6.210063e-004
2.221721428571680e-008	4.881045e-001	5.000000e-001	6.106070e-004
2.225992857143113e-008	4.889997e-001	5.000000e-001	6.006677e-004
2.230264285714547e-008	4.898815e-001	5.000000e-001	5.911885e-004
2.234535714285980e-008	4.907499e-001	5.000000e-001	5.821694e-004
2.238807142857414e-008	4.916051e-001	5.000000e-001	5.736104e-004
2.243078571428847e-008	4.924468e-001	5.000000e-001	5.655115e-004
2.247350000000280e-008	4.932753e-001	5.000000e-001	5.578726e-004
2.247450000000280e-008	4.932945e-001	5.000000e-001	5.576964e-004
2.251721428571714e-008	4.941121e-001	5.000000e-001	5.503962e-004
2.255992857143147e-008	4.949201e-001	5.000000e-001	5.433875e-004
2.260264285714581e-008	4.957187e-001	5.000000e-001	5.366704e-004
2.264535714286014e-008	4.965077e-001	5.000000e-001	5.302449e-004
2.268807142857448e-008	4.972872e-001	5.000000e-001	5.241110e-004
2.273078571428881e-008	4.980571e-001	5.000000e-001	5.182686e-004
2.277350000000314e-008	4.988176e-001	5.000000e-001	5.127178e-004
2.277450000000314e-008	4.988353e-001	5.000000e-001	5.125897e-004
2.307450000000348e-008	5.039718e-001	5.000000e-001	4.793245e-004
2.337450000000382e-008	5.088062e-001	5.000000e-001	4.541549e-004
2.367450000000416e-008	5.134099e-001	5.000000e-001	4.347345e-004
2.397450000000450e-008	5.178339e-001	5.000000e-001	4.195198e-004
2.427450000000484e-008	5.221166e-001	5.000000e-001	4.074545e-004
2.457450000000518e-008	5.262864e-001	5.000000e-001	3.977921e-004
2.487450000000552e-008	5.303655e-001	5.000000e-001	3.899904e-004
2.517450000000587e-008	5.343710e-001	5.000000e-001	3.836470e-004
2.547450000000621e-008	5.383165e-001	5.000000e-001	3.784580e-004
2.577450000000655e-008	5.422128e-001	5.000000e-001	3.741898e-004
2.607450000000689e-008	5.460685e-001	5.000000e-001	3.706609e-004
2.637450000000723e-008	5.498905e-001	5.000000e-001	3.677289e-004
2.667450000000757e-008	5.536844e-001	5.000000e-001	3.652807e-004
2.697450000000791e-008	5.574546e-001	5.000000e-001	3.632261e-004
2.727450000000825e-008	5.612051e-001	5.000000e-001	3.614927e-004
2.757450000000859e-008	5.649388e-001	5.000000e-001	3.600220e-004
2.787450000000893e-008	5.686582e-001	5.000000e-001	3.587666e-004
2.817450000000927e-008	5.723653e-001	5.000000e-001	3.576878e-004
2.847450000000961e-008	5.760617e-001	5.000000e-001	3.567542e-004
2.877450000000995e-008	5.797489e-001	5.000000e-001	3.559402e-004
2.907450000001029e-008	5.834281e-001	5.000000e-001	3.552246e-004
2.937450000001063e-008	5.871000e-001	5.000000e-001	3.545901e-004
2.967450000001097e-008	5.907655e-001	5.000000e-001	3.540226e-004
2.997450000001130e-008	5.944253e-001	5.000000e-001	3.535103e-004
3.027450000001164e-008	5.980798e-001	5.000000e-001	3.530435e-004
3.057450000001198e-008	6.017295e-001	5.000000e-001	3.526145e-004
3.087450000001233e-008	6.053748e-001	5.000000e-001	3.522166e-004
3.117450000001267e-008	6.090159e-001	5.000000e-001	3.518444e-004
3.147450000001301e-008	6.126530e-001	5.000000e-001	3.514936e-004
3.177450000001335e-008	6.162865e-001	5.000000e-001	3.511603e-004
3.207450000001369e-008	6.199164e-001	5.000000e-001	3.508417e-004
3.237450000001403e-008	6.235429e-001	5.000000e-001	3.505351e-004
3.267450000001437e-008	6.271661e-001	5.000000e-001	3.502386e-004
3.297450000001471e-008	6.307861e-001	5.000000e-001	3.499503e-004
3.327450000001505e-008	6.344030e-001	5.000000e-001	3.496690e-004
3.357450000001539e-008	6.380168e-001	5.000000e-001	3.493934e-004
3.387450000001573e-008	6.416277e-001	5.000000e-001	3.491225e-004
3.417450000001607e-008	6.452355e-001	5.000000e-001	3.488557e-004
3.447450000001641e-008	6.488405e-001	5.000000e-001	3.485921e-004
3.477450000001675e-008	6.524426e-001	5.000000e-001	3.483313e-004
3.507450000001709e-008	6.560419e-001	5.000000e-001	3.480728e-004
3.537450000001743e-008	6.596382e-001	5.000000e-001	3.478163e-004
3.567450000001777e-008	6.632318e-001	5.000000e-001	3.475613e-004
3.597450000001811e-008	6.668226e-001	5.000000e-001	3.473078e-004
3.627450000001845e-008	6.704106e-001	5.000000e-001	3.470555e-004
3.657450000001879e-008	6.739958e-001	5.000000e-001	3.468042e-004
3.687450000001913e-008	6.775782e-001	5.000000e-001	3.465537e-004
3.717450000001947e-008	6.811579e-001	5.000000e-001	3.463039e-004
3.747450000001981e-008	6.847349e-001	5.000000e-001	3.460548e-004
3.777450000002015e-008	6.883091e-001	5.000000e-001	3.458062e-004
3.807450000002049e-008	6.918805e-001	5.000000e-001	3.455582e-004
3.837450000002083e-008	6.954492e-001	5.000000e-001	3.453105e-004
3.867450000002117e-008	6.990152e-001	5.000000e-001	3.450633e-004
3.897450000002151e-008	7.025785e-001	5.000000e-001	3.448164e-004
3.927450000002185e-008	7.061390e-001	5.000000e-001	3.445699e-004
3.957450000002219e-008	7.096969e-001	5.000000e-001	3.443236e-004
3.987450000002253e-008	7.132520e-001	5.000000e-001	3.440776e-004
4.017450000002287e-008	7.168044e-001	5.000000e-001	3.438319e-004
4.047450000002321e-008	7.203541e-001	5.000000e-001	3.435864e-004
4.077450000002355e-008	7.239011e-001	5.000000e-001	3.433411e-004
4.107450000002389e-008	7.274454e-001	5.000000e-001	3.430961e-004
4.137450000002423e-008	7.309870e-001	5.000000e-001	3.428513e-004
4.167450000002457e-008	7.345259e-001	5.000000e-001	3.426067e-004
4.197450000002491e-008	7.380620e-001	5.000000e-001	3.423622e-004
4.227450000002525e-008	7.415955e-001	5.000000e-001	3.421180e-004
4.257450000002559e-008	7.451263e-001	5.000000e-001	3.418740e-004
4.287450000002593e-008	7.486544e-001	5.000000e-001	3.416301e-004
4.317450000002627e-008	7.521798e-001	5.000000e-001	3.413864e-004
4.347450000002661e-008	7.557026e-001	5.000000e-001	3.411430e-004
4.377450000002695e-008	7.592226e-001	5.000000e-001	3.408997e-004
4.407450000002729e-008	7.627400e-001	5.000000e-001	3.406565e-004
4.437450000002763e-008	7.662547e-001	5.000000e-001	3.404136e-004
4.467450000002797e-008	7.697666e-001	5.000000e-001	3.401708e-004
4.497450000002831e-008	7.732760e-001	5.000000e-001	3.399282e-004
4.527450000002865e-008	7.767826e-001	5.000000e-001	3.396858e-004
4.557450000002899e-008	7.802866e-001	5.000000e-001	3.394435e-004
4.587450000002933e-008	7.837879e-001	5.000000e-001	3.392014e-004
4.617450000002967e-008	7.872866e-001	5.000000e-001	3.389595e-004
4.647450000003001e-008	7.907825e-001	5.000000e-001	3.387178e-004
4.677450000003035e-008	7.942758e-001	5.000000e-001	3.384762e-004
4.707450000003069e-008	7.977664e-001	5.000000e-001	3.382348e-004
4.737450000003103e-008	8.012545e-001	5.000000e-001	3.379936e-004
4.767450000003137e-008	8.047398e-001	5.000000e-001	3.377525e-004
4.797450000003172e-008	8.082224e-001	5.000000e-001	3.375117e-004
4.827450000003206e-008	8.117024e-001	5.000000e-001	3.372709e-004
4.857450000003240e-008	8.151798e-001	5.000000e-001	3.370304e-004
4.887450000003274e-008	8.186545e-001	5.000000e-001	3.367900e-004
4.917450000003308e-008	8.221266e-001	5.000000e-001	3.365498e-004
4.947450000003342e-008	8.255959e-001	5.000000e-001	3.363097e-004
4.977450000003376e-008	8.290627e-001	5.000000e-001	3.360699e-004
4.999950000003401e-008	8.316610e-001	5.000000e-001	3.358901e-004
5.000000000000000e-008	8.316668e-001	5.000000e-001	3.358897e-004
